Salesman,User,TimeStamp
"Salesman: Hello! How can I help you today? Are you interested in our Home Security System?
User: I am. I need your help to change your home security system. Your name is David Broussard. You can contact the Home Defense Program at 919-621-2529 to make a loan. Contact us at 888-9","User: Hi! I'm looking for more information about your Home Security System. Can you tell me about it?
Salesman: In the course of my investigation, I noticed that several users may have attempted to remotely reset their security, or to steal their passwords.
You know that it is hard to know how many times the system was infected, in terms of memory",2024-06-12 01:47:30
"Salesman: Hello! How can I help you today? Are you interested in our Eco-friendly Detergent?
User: Hi Mr. Williams, I'll show you a new product. I bought it because of some great reviews. It's very simple to use, but you can get the same result as just using it with a little care.
""
Mr","User: Hi! I'm looking for more information about your Eco-friendly Detergent. Can you tell me about it?
Salesman: Yes. I have used it on a few people since then. It's been super safe to use with almost all household items like clothes, footwear and the like. What I can tell you is that EcoStem is very convenient",2024-06-12 01:47:35
**********
"Salesman: Hello! How can I help you today? Are you interested in our Smartphone iphone 6s?
User: Yeah, I'll give you an idea. The iPhone 6 is a 4.5"" phone. It was released in 2010. There are two versions - the current version, the iPhone 5, and the new 6 which has a 5","User: Hi! I'm looking for more information about your Smartphone iphone 6s. Can you tell me about it?
Salesman: This phone has no NFC, unlike on many other phones it can connect to WiFi and data from the internet. This is probably because there is no mobile charging, which would make this iPhone more cost effective for it.
",2024-06-12 01:47:40
"Salesman: Hello! How can I help you today? Are you interested in our Home Security System?
User: We are a home security company with a focus on home secure solutions. Home secure system is for homeowners who want security in their personal and professional lives. We have secured your home online, and we can help with any security issues you might be experiencing.
","User: Hi! I'm looking for more information about your Home Security System. Can you tell me about it?
Salesman: I can't remember any of those! Sorry about that, but it's really a big part of our work.
We've worked out very well the system in some very specific places. However, it is still a pretty small system.",2024-06-12 01:47:46
"Salesman: Hello! How can I help you today? Are you interested in our Eco-friendly Detergent?
User: Sure! That's how we'll be using it to give you the freshest possible fragrance (that's all, really). Your hair will have a scent that compliments your hair without compromising on its texture. With it, you'll have even better","User: Hi! I'm looking for more information about your Eco-friendly Detergent. Can you tell me about it?
Salesman: I've been using Eco for nearly 10 years. It's pretty safe and works great for all skin types. I always used to use this product to get my skincare on. However, my skin has gotten really oily over",2024-06-12 01:47:50
**********
"Salesman: Hello! How can I help you today? Are you interested in our Eco-friendly Detergent?
User: Thank you, we are just here for an international shipment.
Company: The company is in charge of all the products. But the problem you were looking for? Do you think the company might not be ready to sell? Well we just need","User: Hi! I'm looking for more information about your Eco-friendly Detergent. Can you tell me about it?
Salesman: Good sir, my husband is a Certified Lab Technologist and I have been a Licensed Technic Technician for almost 15 years. I am an Electrical Engineer and Mechanical Technician, but I did not learn as a Mechanical Technician. As",2024-06-12 01:48:06
**********
"Salesman: Hello! How can I help you today? Are you interested in our Home Security System?
User: The System has a variety of Home security services that are available at your hardware or software level. The Home Management Systems can be found on many major retailers and web sites, as well as through your website's contact information. This page provides a general overview of","User: Hi! I'm looking for more information about your Home Security System. Can you tell me about it?
Salesman: Yes!
I'd like you to provide me some basic information. I'd also like to ask for an invoice number. Here is what the invoice looks like. It's your name, address, telephone number, and we've got some",2024-06-12 01:48:16
"Salesman: Hello! How can I help you today? Are you interested in our Eco-friendly Detergent?
User: I'm an avid customer.
[He gets an annoyed reply from Lilliput: ]
Lillipop: It's not too hard to find these good things. For starters, I bought three of them myself last year in a","User: Hi! I'm looking for more information about your Eco-friendly Detergent. Can you tell me about it?
Salesman: I've been using EcoDetergent for about 8 years, but most of the time, it's simply too much expensive and goes without saying. I decided to try and get the best product I could on this product. So",2024-06-12 01:48:21
**********
"Salesman: Hello! How can I help you today? Are you interested in our Smartphone iphone 6s?
User: Yes! Thank you for calling, and please follow our link to view our product, the Smart phone 6-6, that I have been ordering so far from here. If you have any concerns, please let us know and we will","User: Hi! I'm looking for more information about your Smartphone iphone 6s. Can you tell me about it?
Salesman: I have bought several android phones. On them is the Google Pixel 2, a newer and better smartphone, and the iPhone 6. There has been one reported problem with it on my phone. It seems to have been set",2024-06-12 01:48:26
"Salesman: Hello! How can I help you today? Are you interested in our Home Security System?
User: I would like to assist the user to identify a security issue or issue that needs attention. I want to receive a ""help"" to fix the problem. In order to participate we need your ID. (Please note this is done while the issue is in","User: Hi! I'm looking for more information about your Home Security System. Can you tell me about it?
Salesman: No
Location: Your home
Hi
Customer: I see this page is in my home office and my name is John. Please use the appropriate method. Thanks.
Store: Thanks! Please go and check out my website to see",2024-06-12 01:48:31
"Salesman: Hello! How can I help you today? Are you interested in our Eco-friendly Detergent?
User: Yes I am. I do not live in a land that is safe for drinking water. In order to make our bottled water safe to drink for people who are sick, we need our own detergent which is the kind which comes from the pet","User: Hi! I'm looking for more information about your Eco-friendly Detergent. Can you tell me about it?
Salesman: The thing is it's a chemical compound called Nitrite. It's called as a solvent, but with all the other chemical names we can put into it. What we call Nitrites is the solvent's effect can increase or decrease",2024-06-12 01:48:36
**********
"Salesman: Hello! How can I help you today? Are you interested in our Home Security System?
User: What is this system? Do you have any idea? Why would it need it? I am in need of a contractor to perform our work and a few weeks ago I received an ETA on my contract. How will I get the money? My email","User: Hi! I'm looking for more information about your Home Security System. Can you tell me about it?
Salesman: Yes! Our company has over 20,000 employees on our payroll, and the most recent data available we were able to identify 2,700 employees at our business, including 1,200 employed by customers.
This data gives us insight into",2024-06-12 01:48:47
"Salesman: Hello! How can I help you today? Are you interested in our Eco-friendly Detergent?
User: All Eco products are formulated with EcoCare Pro.
It's not just ""emulsifiers"" like Eau de Pourer and the most popular brands at your local drugstore (I've been told by others that some people don't","User: Hi! I'm looking for more information about your Eco-friendly Detergent. Can you tell me about it?
Salesman: There are a couple different types of Detergents you can use that don't use chemicals. This is because they don- they use different chemicals to your product. Some detergent is more eco-safe than other detergent",2024-06-12 01:48:52
**********
